SR Number,Activities,Change Date+Time
1-364285768,Accepted + In Progress,2010-03-31 15:59:42+01:00
1-364285768,Accepted + In Progress,2010-03-31 16:00:56+01:00
1-364285768,Queued + Awaiting Assignment,2010-03-31 16:45:48+01:00
1-364285768,Accepted + In Progress,2010-04-06 15:44:07+01:00
1-364285768,Queued + Awaiting Assignment,2010-04-06 15:44:38+01:00
1-364285768,Accepted + In Progress,2010-04-06 15:44:47+01:00
1-364285768,Completed + Resolved,2010-04-06 15:44:51+01:00
1-364285768,Queued + Awaiting Assignment,2010-04-06 15:45:07+01:00
1-364285768,Accepted + In Progress,2010-04-08 11:52:23+01:00
1-364285768,Queued + Awaiting Assignment,2010-04-08 11:53:35+01:00
1-364285768,Accepted + In Progress,2010-04-20 10:07:11+01:00
1-364285768,Accepted + Assigned,2010-04-20 10:07:19+01:00
1-364285768,Accepted + In Progress,2012-04-11 16:11:17+01:00
1-364285768,Accepted + Assigned,2012-04-11 16:11:25+01:00
1-364285768,Accepted + In Progress,2012-05-03 10:10:10+01:00
1-364285768,Completed + Resolved,2012-05-03 10:10:12+01:00
1-364285768,Completed + Closed,2012-05-11 00:26:15+01:00
1-467153946,Accepted + In Progress,2011-01-31 11:12:22+01:00
1-467153946,Accepted + In Progress,2011-01-31 11:18:44+01:00
1-467153946,Queued + Awaiting Assignment,2011-01-31 11:19:05+01:00
1-467153946,Accepted + In Progress,2011-01-31 12:59:46+01:00
1-467153946,Accepted + Wait - User,2011-01-31 14:37:55+01:00
1-467153946,Queued + Awaiting Assignment,2011-02-03 08:28:58+01:00
1-467153946,Accepted + In Progress,2011-02-07 12:37:33+01:00
1-467153946,Accepted + Wait - Implementation,2011-02-07 12:38:25+01:00
1-467153946,Accepted + In Progress,2011-03-09 11:08:06+01:00
1-467153946,Accepted + Wait - Implementation,2011-03-09 11:27:05+01:00
1-467153946,Accepted + In Progress,2011-03-10 11:53:10+01:00
1-467153946,Accepted + Assigned,2011-03-10 11:53:22+01:00
1-467153946,Accepted + In Progress,2011-03-10 12:17:22+01:00
1-467153946,Accepted + Wait - User,2011-03-10 12:21:51+01:00
1-467153946,Accepted + Wait,2011-03-10 14:45:27+01:00
1-467153946,Accepted + Assigned,2011-03-14 07:56:20+01:00
1-467153946,Accepted + In Progress,2011-03-14 07:58:01+01:00
1-467153946,Accepted + Wait,2011-03-14 07:58:55+01:00
1-467153946,Accepted + In Progress,2011-04-05 16:59:52+01:00
1-467153946,Queued + Awaiting Assignment,2011-04-05 17:02:01+01:00
1-467153946,Accepted + In Progress,2011-04-06 09:32:07+01:00
1-467153946,Accepted + Assigned,2011-04-06 10:47:50+01:00
1-467153946,Accepted + In Progress,2011-04-06 10:48:33+01:00
1-467153946,Accepted + Wait - User,2011-04-06 11:08:47+01:00
1-467153946,Accepted + In Progress,2011-04-07 12:36:47+01:00
1-467153946,Accepted + Wait,2011-04-07 13:06:06+01:00
1-467153946,Accepted + In Progress,2011-04-08 13:10:59+01:00
1-467153946,Accepted + Wait,2011-04-08 13:17:44+01:00
1-467153946,Queued + Awaiting Assignment,2011-04-08 13:20:00+01:00
1-467153946,Accepted + In Progress,2011-04-12 14:16:47+01:00
1-467153946,Accepted + In Progress,2011-08-08 14:28:38+01:00
1-467153946,Accepted + Assigned,2011-09-12 10:22:38+01:00
1-467153946,Accepted + In Progress,2011-11-21 13:52:19+01:00
1-467153946,Accepted + Wait - Implementation,2011-11-21 13:52:57+01:00
1-467153946,Queued + Awaiting Assignment,2012-01-25 15:50:41+01:00
1-467153946,Accepted + In Progress,2012-01-25 15:53:07+01:00
1-467153946,Queued + Awaiting Assignment,2012-01-25 15:54:00+01:00
1-467153946,Accepted + In Progress,2012-05-15 16:56:51+01:00
1-467153946,Completed + Resolved,2012-05-15 16:57:39+01:00
1-467153946,Completed + Closed,2012-05-23 00:22:25+01:00
1-503573772,Accepted + In Progress,2011-02-24 16:17:46+01:00
1-503573772,Accepted + In Progress,2011-02-24 16:17:52+01:00
1-503573772,Queued + Awaiting Assignment,2011-02-24 16:19:35+01:00
1-503573772,Accepted + In Progress,2011-02-28 13:46:38+01:00
1-503573772,Queued + Awaiting Assignment,2011-02-28 13:47:22+01:00
1-503573772,Accepted + In Progress,2011-02-28 13:48:12+01:00
1-503573772,Queued + Awaiting Assignment,2011-02-28 13:53:24+01:00
1-503573772,Accepted + In Progress,2011-05-04 17:07:37+01:00
1-503573772,Queued + Awaiting Assignment,2012-02-17 14:49:34+01:00
